group	level	cvar	value	source
AntiAliasingQuality	0	r.FXAA.Quality	0	engine
AntiAliasingQuality	0	r.TSR.History.R11G11B10	1	engine
AntiAliasingQuality	0	r.TSR.History.ScreenPercentage	100	game
AntiAliasingQuality	0	r.TSR.History.UpdateQuality	0	engine
AntiAliasingQuality	0	r.TSR.RejectionAntiAliasingQuality	0	engine
AntiAliasingQuality	0	r.TSR.ReprojectionField	0	engine
AntiAliasingQuality	0	r.TSR.Resurrection	0	engine
AntiAliasingQuality	0	r.TSR.ShadingRejection.Flickering	0	engine
AntiAliasingQuality	0	r.TemporalAA.Quality	0	engine
AntiAliasingQuality	1	r.FXAA.Quality	1	engine
AntiAliasingQuality	1	r.TSR.History.R11G11B10	1	engine
AntiAliasingQuality	1	r.TSR.History.ScreenPercentage	100	game
AntiAliasingQuality	1	r.TSR.History.UpdateQuality	1	engine
AntiAliasingQuality	1	r.TSR.RejectionAntiAliasingQuality	1	engine
AntiAliasingQuality	1	r.TSR.ReprojectionField	0	engine
AntiAliasingQuality	1	r.TSR.Resurrection	1	engine
AntiAliasingQuality	1	r.TSR.ShadingRejection.Flickering	0	engine
AntiAliasingQuality	1	r.TemporalAA.Quality	1	engine
AntiAliasingQuality	2	r.FXAA.Quality	3	engine
AntiAliasingQuality	2	r.TSR.History.R11G11B10	1	engine
AntiAliasingQuality	2	r.TSR.History.ScreenPercentage	100	game
AntiAliasingQuality	2	r.TSR.History.UpdateQuality	2	engine
AntiAliasingQuality	2	r.TSR.RejectionAntiAliasingQuality	1	engine
AntiAliasingQuality	2	r.TSR.ReprojectionField	1	engine
AntiAliasingQuality	2	r.TSR.Resurrection	1	engine
AntiAliasingQuality	2	r.TSR.ShadingRejection.Flickering	1	engine
AntiAliasingQuality	2	r.TemporalAA.Quality	1	engine
AntiAliasingQuality	3	r.FXAA.Quality	4	engine
AntiAliasingQuality	3	r.TSR.History.R11G11B10	1	engine
AntiAliasingQuality	3	r.TSR.History.ScreenPercentage	100	game
AntiAliasingQuality	3	r.TSR.History.UpdateQuality	3	engine
AntiAliasingQuality	3	r.TSR.RejectionAntiAliasingQuality	2	engine
AntiAliasingQuality	3	r.TSR.ReprojectionField	1	engine
AntiAliasingQuality	3	r.TSR.Resurrection	1	engine
AntiAliasingQuality	3	r.TSR.ShadingRejection.Flickering	1	engine
AntiAliasingQuality	3	r.TemporalAA.Quality	2	engine
AntiAliasingQuality	Cine	r.FXAA.Quality	5	engine
AntiAliasingQuality	Cine	r.TSR.History.R11G11B10	0	engine
AntiAliasingQuality	Cine	r.TSR.History.ScreenPercentage	200	engine
AntiAliasingQuality	Cine	r.TSR.History.UpdateQuality	3	engine
AntiAliasingQuality	Cine	r.TSR.RejectionAntiAliasingQuality	2	engine
AntiAliasingQuality	Cine	r.TSR.ReprojectionField	1	engine
AntiAliasingQuality	Cine	r.TSR.Resurrection	1	engine
AntiAliasingQuality	Cine	r.TSR.ShadingRejection.Flickering	1	engine
AntiAliasingQuality	Cine	r.TemporalAA.Quality	2	engine
CloudQuality	0	r.VolumetricCloud	1	game
CloudQuality	0	r.VolumetricCloud.DistanceToSampleMaxCount	60	game
CloudQuality	0	r.VolumetricCloud.ReflectionRaySampleMaxCount	20	game
CloudQuality	0	r.VolumetricCloud.ShadowMap	0	game
CloudQuality	0	r.VolumetricCloud.SkyAO	0	game
CloudQuality	0	r.VolumetricCloud.ViewRaySampleMaxCount	60	game
CloudQuality	1	r.VolumetricCloud	1	game
CloudQuality	1	r.VolumetricCloud.DistanceToSampleMaxCount	50	game
CloudQuality	1	r.VolumetricCloud.ReflectionRaySampleMaxCount	30	game
CloudQuality	1	r.VolumetricCloud.ShadowMap	0	game
CloudQuality	1	r.VolumetricCloud.SkyAO	0	game
CloudQuality	1	r.VolumetricCloud.ViewRaySampleMaxCount	80	game
CloudQuality	2	r.VolumetricCloud	1	game
CloudQuality	2	r.VolumetricCloud.DistanceToSampleMaxCount	50	game
CloudQuality	2	r.VolumetricCloud.ReflectionRaySampleMaxCount	60	game
CloudQuality	2	r.VolumetricCloud.ShadowMap	1	game
CloudQuality	2	r.VolumetricCloud.ShadowMap.MaxResolution	512	game
CloudQuality	2	r.VolumetricCloud.ShadowMap.RaySampleMaxCount	64	game
CloudQuality	2	r.VolumetricCloud.SkyAO	1	game
CloudQuality	2	r.VolumetricCloud.SkyAO.Filtering	0	game
CloudQuality	2	r.VolumetricCloud.ViewRaySampleMaxCount	80	game
CloudQuality	3	r.VolumetricCloud	1	game
CloudQuality	3	r.VolumetricCloud.DistanceToSampleMaxCount	30	game
CloudQuality	3	r.VolumetricCloud.ReflectionRaySampleMaxCount	80	game
CloudQuality	3	r.VolumetricCloud.ShadowMap	1	game
CloudQuality	3	r.VolumetricCloud.ShadowMap.MaxResolution	512	game
CloudQuality	3	r.VolumetricCloud.ShadowMap.RaySampleMaxCount	64	game
CloudQuality	3	r.VolumetricCloud.SkyAO	1	game
CloudQuality	3	r.VolumetricCloud.SkyAO.Filtering	1	game
CloudQuality	3	r.VolumetricCloud.ViewRaySampleMaxCount	80	game
CloudQuality	Cine	r.VolumetricCloud	1	game
CloudQuality	Cine	r.VolumetricCloud.DistanceToSampleMaxCount	15	game
CloudQuality	Cine	r.VolumetricCloud.ReflectionRaySampleMaxCount	80	game
CloudQuality	Cine	r.VolumetricCloud.ShadowMap	1	game
CloudQuality	Cine	r.VolumetricCloud.ShadowMap.MaxResolution	2048	game
